index,X_position,X_speed,Y_position,Y_speed,Z_position,Z_speed,A_position,A_speed,B_position,B_speed,C_position,C_speed,image,delay
0,96292,1200,87646,1200,11760,1200,40000,555,9894,550,0,0,1,4
1,100957,1200,81646,1200,11260,1200,39000,555,9894,550,0,0,1,30
2,100957,1200,81646,1200,11760,1200,39000,555,9894,550,0,0,1,4
3,104722,1200,74846,1200,11260,1200,38000,555,9894,550,0,0,1,30
4,104722,1200,74846,1200,11760,1200,38000,555,9894,550,0,0,1,4
5,107998,1200,68546,1200,11260,1200,37000,555,9894,550,0,0,1,30
6,107998,1200,68546,1200,11760,1200,37000,555,9894,550,0,0,1,4
7,109663,1200,61013,1200,11260,1200,36000,555,9894,550,0,0,1,30
8,109663,1200,61013,1200,11760,1200,36000,555,9894,550,0,0,1,4
9,109773,1200,52904,1200,11260,1200,35000,555,9894,550,0,0,1,30
10,109773,1200,52904,1200,11760,1200,35000,555,9894,550,0,0,1,4
11,109105,1200,45683,1200,11260,1200,34000,555,9894,550,0,0,1,30
12,109105,1200,45683,1200,11760,1200,34000,555,9894,550,0,0,1,4
13,106105,1200,37966,1200,11260,1200,33000,555,9894,550,0,0,1,30
14,106105,1200,37966,1200,11760,1200,33000,555,9894,550,0,0,1,4
15,102704,1200,30823,1200,11260,1200,32000,555,9894,550,0,0,1,30
16,102704,1200,30823,1200,11760,1200,32000,555,9894,550,0,0,1,4
17,98204,1200,24859,1200,11260,1200,31000,555,9894,550,0,0,1,30
18,98204,1200,24859,1200,11760,1200,31000,555,9894,550,0,0,1,4
19,93204,1200,19527,1200,11260,1200,30000,555,9894,550,0,0,1,30
20,93204,1200,19527,1200,11760,1200,30000,555,9894,550,0,0,1,4
21,87471,1200,14752,1200,11260,1200,29000,555,9894,550,0,0,1,30
22,87471,1200,14752,1200,11760,1200,29000,555,9894,550,0,0,1,4
23,81138,1200,11620,1200,11260,1200,28000,555,9894,550,0,0,1,30
24,81138,1200,11620,1200,11760,1200,28000,555,9894,550,0,0,1,4
25,74805,1200,8289,1200,10594,1200,27000,555,9894,550,0,0,1,30
26,74805,1200,8289,1200,11094,1200,27000,555,9894,550,0,0,1,4
27,67474,1200,7292,1200,11260,1200,26000,555,9894,550,0,0,1,30
28,67474,1200,7292,1200,11760,1200,26000,555,9894,550,0,0,1,4
29,59976,1200,6968,1200,11260,1200,25000,555,9894,550,0,0,1,30
30,59976,1200,6968,1200,11760,1200,25000,555,9894,550,0,0,1,4
31,52811,1200,7969,1200,11260,1200,24000,555,9894,550,0,0,1,30
32,52811,1200,7969,1200,11760,1200,24000,555,9894,550,0,0,1,4
33,46179,1200,10303,1200,11260,1200,23000,555,9894,550,0,0,1,30
34,46179,1200,10303,1200,11760,1200,23000,555,9894,550,0,0,1,4
35,39514,1200,13903,1200,11260,1200,22000,555,9894,550,0,0,1,30
36,39514,1200,13903,1200,11760,1200,22000,555,9894,550,0,0,1,4
37,33849,1200,17903,1200,11260,1200,21000,555,9894,550,0,0,1,30
38,33849,1200,17903,1200,11760,1200,21000,555,9894,550,0,0,1,4
39,28584,1200,22903,1200,11260,1200,20000,555,9894,550,0,0,1,30
40,28584,1200,22903,1200,11760,1200,20000,555,9894,550,0,0,1,4
41,24252,1200,28680,1200,11260,1200,19000,555,9894,550,0,0,1,30
42,24252,1200,28680,1200,11760,1200,19000,555,9894,550,0,0,1,4
43,20920,1200,35013,1200,11260,1200,18000,555,9894,550,0,0,1,30
44,20920,1200,35013,1200,11760,1200,18000,555,9894,550,0,0,1,4
45,18588,1200,41679,1200,11371,1200,17000,555,9894,550,0,0,1,30
46,18588,1200,41679,1200,11871,1200,17000,555,9894,550,0,0,1,4
47,17489,1200,48456,1200,11482,1200,16000,555,9894,550,0,0,1,30
48,17489,1200,48456,1200,11982,1200,16000,555,9894,550,0,0,1,4
49,17223,1200,56565,1200,12148,1200,15000,555,9894,550,0,0,1,30
50,17223,1200,56565,1200,12648,1200,15000,555,9894,550,0,0,1,4
51,18301,1200,63231,1200,12148,1200,14000,555,9894,550,0,0,1,30
52,18301,1200,63231,1200,12648,1200,14000,555,9894,550,0,0,1,4
53,20031,1200,70230,1200,12148,1200,13000,555,9894,550,0,0,1,30
54,20031,1200,70230,1200,12648,1200,13000,555,9894,550,0,0,1,4
55,23540,1200,76341,1200,11814,1200,12000,555,9894,550,0,0,1,30
56,23540,1200,76341,1200,12314,1200,12000,555,9894,550,0,0,1,4
57,27488,1200,82375,1200,11926,1200,11000,555,9894,550,0,0,1,30
58,27488,1200,82375,1200,12426,1200,11000,555,9894,550,0,0,1,4
59,32810,1200,88040,1200,12814,1200,10000,555,9894,550,0,0,1,30
60,32810,1200,88040,1200,13314,1200,10000,555,9894,550,0,0,1,4
61,39142,1200,91902,1200,12814,1200,9000,555,9894,550,0,0,1,30
62,39142,1200,91902,1200,13314,1200,9000,555,9894,550,0,0,1,4
63,44842,1200,95035,1200,12814,1200,8000,555,9894,550,0,0,1,30
64,44842,1200,95035,1200,13314,1200,8000,555,9894,550,0,0,1,4
65,51841,1200,97201,1200,12814,1200,7000,555,9894,550,0,0,1,30
66,51841,1200,97201,1200,13314,1200,7000,555,9894,550,0,0,1,4
67,58141,1200,99033,1200,12814,1200,6000,555,9894,550,0,0,1,30
68,58141,1200,99033,1200,13314,1200,6000,555,9894,550,0,0,1,4
69,65007,1200,99432,1200,12814,1200,5000,555,9894,550,0,0,1,30
70,65007,1200,99432,1200,13314,1200,5000,555,9894,550,0,0,1,4
71,71318,1200,98986,1200,12481,1200,4000,555,9894,550,0,0,1,30
72,71318,1200,98986,1200,12981,1200,4000,555,9894,550,0,0,1,4
